Haber,Saat,Tarih,Link
Tayland beş askerinin yaralanması nedeniyle Kamboçya sınırını kapattı,21:06,23.07.2025,https://tr.euronews.com/2025/07/23/tayland-bir-askerinin-yaralanmasi-nedeniyle-kambocya-sinirini-kapatti
Son Dakika.Eskişehir'de orman yangınına müdahale eden 10 kişi hayatını kaybetti,21:02,23.07.2025,https://tr.euronews.com/2025/07/23/eskisehirde-orman-yanginina-mudahale-eden-10-kisi-hayatini-kaybetti
"AB, ABD ile gümrük vergisi savaşında misillemeye hazırlanıyor",20:37,23.07.2025,https://tr.euronews.com/business/2025/07/23/ab-abd-ile-gumruk-vergisi-savasinda-misillemeye-hazirlaniyor
Avrupalı müzisyenler yapay zekaya karşı daha fazla düzenleme istiyor,19:37,23.07.2025,https://tr.euronews.com/kultur/2025/07/23/avrupali-muzisyenler-yapay-zekaya-karsi-daha-fazla-duzenleme-istiyor
Hindistan'da 'sahte büyükelçi' dolandırıcılıktan gözaltına alındı,19:31,23.07.2025,https://tr.euronews.com/2025/07/23/hindistanda-sahte-buyukelci-dolandiriciliktan-gozaltina-alindi
"Leyen, Ukrayna'nın yeni yolsuzlukla mücadele yasasından endişeli",18:29,23.07.2025,https://tr.euronews.com/my-europe/2025/07/23/leyen-ukraynanin-yeni-yolsuzlukla-mucadele-yasasindan-endiseli
ABD’li gençlerin yeni 'dostu' yapay zeka: Uzmanlar uyarıyor,18:14,23.07.2025,https://tr.euronews.com/next/2025/07/23/abdli-genclerin-yeni-dostu-yapay-zeka-uzmanlar-uyariyor
Bilim insanları uyardı: Antibiyotiklere dirençli bakteri türü Avrupa'da yayılıyor,17:55,23.07.2025,https://tr.euronews.com/saglik/2025/07/23/bilim-insanlari-uyardi-antibiyotiklere-direncli-bakteri-turu-avrupada-yayiliyor
100'den fazla kuruluş Gazze'de yaklaşan kıtlık konusunda alarm veriyor,17:46,23.07.2025,https://tr.euronews.com/2025/07/23/100den-fazla-kurulus-gazzede-yaklasan-kitlik-konusunda-alarm-veriyor
ABD'de yeni dönemin yapay zeka vizyonu: Trump eylem planını açıklıyor,17:42,23.07.2025,https://tr.euronews.com/next/2025/07/23/abdde-yeni-donemin-yapay-zeka-vizyonu-trump-eylem-planini-acikliyor
AB ile Japonya küresel gerilimlerin ortasında ticaret ittifakını güçlendiriyor,17:35,23.07.2025,https://tr.euronews.com/my-europe/2025/07/23/ab-ile-japonya-kuresel-gerilimlerin-ortasinda-ticaret-ittifakini-guclendiriyor
Kuzey İrlanda'da silahlı saldırı: 2 ölü ve 2 ağır yaralı,17:23,23.07.2025,https://tr.euronews.com/2025/07/23/kuzey-irlandada-silahli-saldiri-2-olu-ve-2-agir-yarali
Bedeviler ve Dürziler arasındaki çatışmaların ardından ikinci yardım konvoyu Süveyda'ya doğru yola çıktı,17:14,23.07.2025,https://tr.euronews.com/2025/07/23/bedeviler-ve-durziler-arasindaki-catismalarin-ardindan-ikinci-yardim-konvoyu-suveydaya-dog
Endonezya'da orman yangınlarıyla ilişkili 44 kişi gözaltına alındı,17:10,23.07.2025,https://tr.euronews.com/2025/07/23/endonezyada-orman-yanginlariyla-iliskili-44-kisi-gozaltina-alindi
"MSB: Suriye, Türkiye'den resmi destek istedi",16:59,23.07.2025,https://tr.euronews.com/2025/07/23/msb-suriye-turkiyeden-resmi-destek-istedi
